path	license_class	spdx	copyright	flags	binary
cache_mutation_reader.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
cache_temperature.hh	AGPL-only	AGPL-3.0-or-later	Copyright 2018-present ScyllaDB		no
cartesian_product.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
cdc/CMakeLists.txt	unknown-license				no
cdc/cdc_extension.hh	AGPL-only	AGPL-3.0-or-later	Copyright 2020-present ScyllaDB		no
cdc/cdc_options.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
cdc/cdc_partitioner.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
cdc/cdc_partitioner.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
cdc/change_visitor.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
cdc/generation.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
cdc/generation.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
cdc/generation_id.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2021-present ScyllaDB		no
cdc/generation_service.hh	Apache-only	Apache-2.0	Copyright (C) 2021-present ScyllaDB		no
cdc/log.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
cdc/log.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
cdc/metadata.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
cdc/metadata.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
cdc/split.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
cdc/split.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB	generated	no
cdc/stats.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
cell_locking.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
checked-file-impl.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2016-present ScyllaDB		no
client_data.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
client_data.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
cliff.toml	Apache-only	Apache-2.0			no
clocks-impl.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
clocks-impl.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
clustering_bounds_comparator.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2016-present ScyllaDB		no
clustering_interval_set.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
clustering_key_filter.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2016-present ScyllaDB		no
clustering_ranges_walker.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
cmake/FindANTLR3.cmake	AGPL-only	AGPL-3.0-or-later	Copyright 2023-present ScyllaDB		no
cmake/Findcryptopp.cmake	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2018-present ScyllaDB		no
cmake/Findlibdeflate.cmake	AGPL-only	AGPL-3.0-or-later	Copyright 2022-present ScyllaDB		no
cmake/Findlibxcrypt.cmake	AGPL-only	AGPL-3.0-or-later	Copyright 2023-present ScyllaDB		no
cmake/Findrapidxml.cmake	AGPL-only	AGPL-3.0-or-later	Copyright 2023-present ScyllaDB		no
cmake/FindxxHash.cmake	AGPL-only	AGPL-3.0-or-later	Copyright 2023-present ScyllaDB		no
cmake/Findzstd.cmake	AGPL-only	AGPL-3.0-or-later	Copyright 2024-present ScyllaDB		no
cmake/add_version_library.cmake	unknown-license				no
cmake/add_whole_archive.cmake	unknown-license				no
cmake/build_submodule.cmake	unknown-license				no
cmake/check_headers.cmake	unknown-license				no
cmake/generate_cql_grammar.cmake	unknown-license				no
cmake/limit_jobs.cmake	unknown-license				no
cmake/mode.Coverage.cmake	unknown-license				no
cmake/mode.Debug.cmake	unknown-license				no
cmake/mode.Dev.cmake	unknown-license				no
cmake/mode.RelWithDebInfo.cmake	unknown-license				no
cmake/mode.Sanitize.cmake	unknown-license				no
cmake/mode.common.cmake	unknown-license				no
collection_mutation.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
collection_mutation.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
column_computation.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
combine.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
compaction/CMakeLists.txt	unknown-license				no
compaction/compaction.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2015-present ScyllaDB		no
compaction/compaction.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
compaction/compaction_backlog_manager.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
compaction/compaction_descriptor.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
compaction/compaction_fwd.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
compaction/compaction_garbage_collector.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
compaction/compaction_manager.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB	generated	no
compaction/compaction_manager.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
compaction/compaction_state.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
compaction/compaction_strategy.cc	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2016-present ScyllaDB		no
compaction/compaction_strategy.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
compaction/compaction_strategy_impl.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
compaction/compaction_strategy_state.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
compaction/compaction_strategy_type.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
compaction/compaction_weight_registration.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
compaction/leveled_compaction_strategy.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB	generated	no
compaction/leveled_compaction_strategy.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
compaction/leveled_manifest.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2015-present ScyllaDB		no
compaction/size_tiered_backlog_tracker.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2018-present ScyllaDB		no
compaction/size_tiered_compaction_strategy.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
compaction/size_tiered_compaction_strategy.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
compaction/strategy_control.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2021-present ScyllaDB		no
compaction/table_state.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2021-present ScyllaDB		no
compaction/task_manager_module.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
